time,open,high,low,close,volume
2025-08-14T14:41:00+05:30,26324.05,26324.8,26316.95,26322.05,0
2025-08-14T14:42:00+05:30,26322.6,26327.0,26322.1,26326.05,0
2025-08-14T14:43:00+05:30,26325.75,26328.35,26321.5,26323.1,0
2025-08-14T14:44:00+05:30,26323.05,26331.35,26319.45,26320.4,0
2025-08-14T14:45:00+05:30,26320.75,26330.15,26320.1,26326.9,0
2025-08-14T14:46:00+05:30,26327.0,26361.35,26326.05,26355.65,0
2025-08-14T14:47:00+05:30,26358.6,26358.6,26336.7,26338.55,0
2025-08-14T14:48:00+05:30,26338.1,26340.3,26331.8,26339.15,0
2025-08-14T14:49:00+05:30,26340.4,26353.05,26339.9,26349.95,0
2025-08-14T14:50:00+05:30,26351.2,26356.15,26349.85,26353.55,0
2025-08-14T14:51:00+05:30,26355.6,26361.55,26351.75,26354.05,0
2025-08-14T14:52:00+05:30,26354.55,26373.3,26353.05,26366.8,0
2025-08-14T14:53:00+05:30,26366.05,26371.3,26361.6,26362.55,0
2025-08-14T14:54:00+05:30,26362.3,26364.9,26360.85,26362.8,0
2025-08-14T14:55:00+05:30,26363.65,26370.7,26363.05,26367.8,0
2025-08-14T14:56:00+05:30,26368.4,26369.15,26352.5,26358.25,0
2025-08-14T14:57:00+05:30,26357.85,26361.05,26356.3,26359.8,0
2025-08-14T14:58:00+05:30,26360.0,26360.85,26355.4,26357.35,0
2025-08-14T14:59:00+05:30,26357.05,26362.75,26356.7,26361.1,0
2025-08-14T15:00:00+05:30,26361.5,26364.75,26353.5,26354.5,0
2025-08-14T15:01:00+05:30,26355.75,26357.2,26347.95,26347.95,0
2025-08-14T15:02:00+05:30,26348.3,26352.3,26345.8,26349.55,0
2025-08-14T15:03:00+05:30,26349.2,26353.65,26344.85,26344.95,0
2025-08-14T15:04:00+05:30,26346.35,26349.3,26344.8,26348.55,0
2025-08-14T15:05:00+05:30,26347.9,26355.1,26346.7,26350.65,0
2025-08-14T15:06:00+05:30,26351.15,26353.4,26340.9,26343.8,0
2025-08-14T15:07:00+05:30,26343.15,26344.0,26338.7,26340.2,0
2025-08-14T15:08:00+05:30,26340.15,26346.1,26334.45,26339.5,0
2025-08-14T15:09:00+05:30,26337.85,26345.95,26336.5,26337.5,0
2025-08-14T15:10:00+05:30,26336.8,26339.7,26335.45,26337.4,0
2025-08-14T15:11:00+05:30,26338.05,26338.15,26333.9,26334.85,0
2025-08-14T15:12:00+05:30,26334.7,26335.8,26332.9,26334.4,0
2025-08-14T15:13:00+05:30,26333.85,26334.4,26331.6,26332.2,0
2025-08-14T15:14:00+05:30,26331.9,26333.55,26330.55,26331.35,0
2025-08-14T15:15:00+05:30,26332.0,26333.35,26326.35,26327.2,0
2025-08-14T15:16:00+05:30,26327.55,26328.55,26323.2,26327.1,0
2025-08-14T15:17:00+05:30,26326.35,26328.15,26325.35,26326.65,0
2025-08-14T15:18:00+05:30,26326.05,26329.25,26324.0,26328.15,0
2025-08-14T15:19:00+05:30,26327.35,26337.95,26327.35,26331.7,0
2025-08-14T15:20:00+05:30,26330.2,26333.55,26327.4,26332.4,0
2025-08-14T15:21:00+05:30,26332.25,26338.35,26320.7,26320.7,0
2025-08-14T15:22:00+05:30,26321.2,26322.2,26312.95,26313.3,0
